Type,Time,Level,Traded Amount,Max Trade,Trade Count,Given,Paid,Max Order,Bids,Asks,Subsequent Trades,1min,5min,Profit,Cum Pnl
ICEBERG,25/11/2018 15:26:12,3890.02,11.80, 5.90, 3,11.80, 0.00, 3.40,72, 0,0.28,3873.64,3890.05,  0.03, 19.66
ICEBERG,25/11/2018 15:36:56,3870.00,43.96,20.96,13,42.75, 1.21, 3.82,27,19,28.32,3862.79,3859.95,-10.05,  9.61
ICEBERG,25/11/2018 17:22:00,3835.00,15.08, 6.74,14, 0.01,15.07, 6.25,29,27,22.82,3833.24,3825.13,  9.87, 19.48
ICEBERG,25/11/2018 17:33:46,3836.00,12.17, 5.91, 3,12.17, 0.00, 0.35, 0, 8,0.02,3847.02,3840.44,  4.44, 23.92
ICEBERG,25/11/2018 19:29:51,3970.00,16.77, 8.36, 4, 0.05,16.72, 5.79,78, 0,0.35,3963.05,3990.33,-20.33,  3.59
ICEBERG,25/11/2018 20:54:30,4105.00,25.31, 9.78, 7,25.26, 0.05, 3.94, 9, 9,0.14,4096.06,4076.54,-28.46,-24.87
ICEBERG,25/11/2018 20:57:50,4089.61,10.42, 5.21, 3,10.42, 0.00, 0.00, 0, 3,0.00,4064.50,4054.31,-35.30,-60.17
ICEBERG,25/11/2018 21:01:39,4065.00,28.52,14.11, 5, 0.30,28.22, 2.11,52,12,0.07,4050.48,4048.00, 17.00,-43.17
ICEBERG,25/11/2018 21:04:07,4060.00,11.61, 5.68, 4, 0.24,11.36, 3.00,13,28,10.04,4061.01,4032.44, 27.56,-15.61
ICEBERG,25/11/2018 21:19:08,4076.37,33.53,14.73, 8,30.84, 2.69,15.15, 5, 0,0.00,4076.56,4106.04, 29.67, 14.06
ICEBERG,25/11/2018 22:05:24,4138.21,13.60, 4.68, 9,12.98, 0.62, 6.60, 7, 0,1.47,4143.03,4168.07, 29.86, 43.92
ICEBERG,25/11/2018 22:47:50,4123.00,11.56, 5.37, 7, 0.00,11.56, 3.97, 0, 1,0.00,4108.48,4090.00, 33.00, 76.92
ICEBERG,25/11/2018 23:09:53,4094.18,12.31, 6.14, 3,12.28, 0.03, 6.14, 7, 1,0.00,4093.00,4099.81,  5.63, 82.55
ICEBERG,25/11/2018 23:11:37,4094.14,19.51, 4.94,15, 7.99,11.52, 9.04, 1, 8,2.37,4095.00,4070.01, 24.13,106.68
ICEBERG,26/11/2018 00:01:25,4101.33,10.10, 5.05, 3, 0.00,10.10, 1.00, 0, 1,0.00,4114.00,4122.73,-21.40, 85.28
ICEBERG,26/11/2018 00:45:31,4174.11,16.50, 5.25, 5,15.51, 1.00, 6.50, 4, 6,5.01,4171.16,4157.01,-17.10, 68.18
ICEBERG,26/11/2018 00:47:08,4172.18,11.14, 3.61, 8, 9.72, 1.42, 2.17, 0, 9,6.36,4168.01,4150.10,-22.08, 46.10
ICEBERG,26/11/2018 01:02:07,4127.82,11.83, 5.19,11,11.55, 0.28, 1.00, 1, 0,0.00,4126.97,4099.99,-27.83, 18.27
ICEBERG,26/11/2018 01:02:22,4134.00,13.54, 6.62, 5, 0.20,13.33, 6.70,61,13,0.00,4118.85,4102.31, 31.69, 49.96
ICEBERG,26/11/2018 01:27:43,4082.16,11.72, 5.68, 3, 0.36,11.36, 1.80, 0, 2,3.60,4084.04,4075.04,  7.12, 57.08
ICEBERG,26/11/2018 01:31:20,4080.00,10.42, 3.69,11,10.42, 0.00, 1.71,26,19,0.10,4074.58,4085.78,  5.78, 62.86
ICEBERG,26/11/2018 02:24:59,4073.44,10.18, 4.23, 7, 8.51, 1.67, 4.23, 2, 1,0.00,4076.94,4072.36, -1.08, 61.78
